"filename", "language", "C++", "CMake", "JSON", "YAML", "Dart", "Properties", "XML", "Gradle", "Markdown", "HTML", "Swift", "Project.pbxproj", "comment", "blank", "total"
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/linux/flutter/generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/linux/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/linux/flutter/generated_plugins.cmake", "CMake", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/linux/main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/linux/my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/linux/my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 3, 4, 17
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Runner.xcodeproj/project.pbxproj", "Project.pbxproj", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 646, 33, 17, 696
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 1, 344
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Runner/Info.plist", "XML", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/pubspec.yaml", "YAML", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 54, 14, 105
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/test/widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 16, 6, 60
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/web/manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/regadabdellah/Documents/Github/FlutterProjects/actually_simple_portfolio/windows/flutter/generated_plugin_registrant.cc", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
